JD,X,Y,Z,VX,VY,VZ
2460857.50000000,2.7043382881225309e-01,-4.5016237148127898e+00,2.8931957498080391e-01,-1.3843892318638440e-02,3.2530081044411907e-02,-1.4700839798587309e-03
2460857.60000000,2.6904943521953306e-01,-4.4983706344062142e+00,2.8917256194075036e-01,-1.3843978848974647e-02,3.2531525931111943e-02,-1.4701767791272769e-03
2460857.70000000,2.6766503298644134e-01,-4.4951174094032371e+00,2.8902553961285132e-01,-1.3844065125830808e-02,3.2532972973155772e-02,-1.4702697368283561e-03
2460857.80000000,2.6628062214484371e-01,-4.4918640396032421e+00,2.8887850798192899e-01,-1.3844151147785855e-02,3.2534422175153996e-02,-1.4703628533468175e-03
2460857.90000000,2.6489620270740827e-01,-4.4886105247597037e+00,2.8873146703071290e-01,-1.3844236913413280e-02,3.2535873541749978e-02,-1.4704561290699999e-03
2460858.00000000,2.6351177470628606e-01,-4.4853568646710764e+00,2.8858441674394797e-01,-1.3844322421278690e-02,3.2537327077579337e-02,-1.4705495643851337e-03
2460858.10000000,2.6212733816732503e-01,-4.4821030591202096e+00,2.8843735710565549e-01,-1.3844407669941387e-02,3.2538782787297015e-02,-1.4706431596810793e-03
2460858.20000000,2.6074289311651794e-01,-4.4788491078894790e+00,2.8829028809981794e-01,-1.3844492657953927e-02,3.2540240675570556e-02,-1.4707369153478993e-03
2460858.30000000,2.5935843958644944e-01,-4.4755950107759483e+00,2.8814320971106350e-01,-1.3844577383861694e-02,3.2541700747073347e-02,-1.4708308317764236e-03
2460858.40000000,2.5797397759050911e-01,-4.4723407675307536e+00,2.8799612192192658e-01,-1.3844661846204455e-02,3.2543163006511860e-02,-1.4709249093600046e-03
2460858.50000000,2.5658950716157369e-01,-4.4690863779500170e+00,2.8784902471695706e-01,-1.3844746043513937e-02,3.2544627458584913e-02,-1.4710191484918987e-03
2460858.60000000,2.5520502832622027e-01,-4.4658318418142429e+00,2.8770191807998013e-01,-1.3844829974315397e-02,3.2546094108010841e-02,-1.4711135495670180e-03
2460858.70000000,2.5382054111117353e-01,-4.4625771589034597e+00,2.8755480199478189e-01,-1.3844913637127166e-02,3.2547562959520812e-02,-1.4712081129814980e-03
2460858.80000000,2.5243604554975402e-01,-4.4593223290123749e+00,2.8740767644579357e-01,-1.3844997030460257e-02,3.2549034017851988e-02,-1.4713028391322596e-03
2460858.90000000,2.5105154165609017e-01,-4.4560673518897582e+00,2.8726054141535146e-01,-1.3845080152819860e-02,3.2550507287774970e-02,-1.4713977284187818e-03
2460859.00000000,2.4966702946380137e-01,-4.4528122273293675e+00,2.8711339688780702e-01,-1.3845163002702986e-02,3.2551982774052711e-02,-1.4714927812404578e-03
2460859.10000000,2.4828250900021079e-01,-4.4495569551093270e+00,2.8696624284678668e-01,-1.3845245578599992e-02,3.2553460481467990e-02,-1.4715879979983624e-03
2460859.20000000,2.4689798029279281e-01,-4.4463015350072848e+00,2.8681907927587680e-01,-1.3845327878994151e-02,3.2554940414816623e-02,-1.4716833790948162e-03
2460859.30000000,2.4551344337562109e-01,-4.4430459668155677e+00,2.8667190615930860e-01,-1.3845409902361229e-02,3.2556422578900533e-02,-1.4717789249329462e-03
2460859.40000000,2.4412889826358028e-01,-4.4397902502805415e+00,2.8652472347921704e-01,-1.3845491647170990e-02,3.2557906978555443e-02,-1.4718746359184695e-03
2460859.50000000,2.4274434499105027e-01,-4.4365343851935677e+00,2.8637753121975246e-01,-1.3845573111884866e-02,3.2559393618609503e-02,-1.4719705124570295e-03
